frame,0xFF7B40,0xFFC80C,0x2000410A
554,0x0,0x0,0x0
555,0x0,0x1,0x1
556,0x0,0x1,0x4001
557,0x0,0x1,0x4001
558,0x0,0x0,0x0
559,0x0,0x0,0x4000
560,0x0,0x0,0x4000
561,0x0,0x1,0x4001
562,0x0,0x1,0x4001
563,0x0,0x1,0x4001
564,0x0,0x0,0x4000
565,0x0,0x0,0x4000
566,0x0,0x0,0x2
567,0x0,0x1,0x4001
568,0x0,0x1,0x3
569,0x0,0x1,0x1
570,0x0,0x0,0x4000
571,0x0,0x0,0x0
572,0x0,0x0,0x0
573,0x0,0x1,0x1
574,0x0,0x1,0x4001
575,0x0,0x1,0x4001
576,0x0,0x0,0x0
577,0x0,0x0,0x4000
578,0x0,0x0,0x4000
579,0x0,0x1,0x4001
580,0x0,0x1,0x4001
581,0x0,0x1,0x4001
582,0x0,0x0,0x4000
583,0x0,0x0,0x4000
584,0x0,0x0,0x2
585,0x0,0x1,0x4001
586,0x0,0x1,0x3
587,0x0,0x1,0x1
588,0x0,0x0,0x4000
589,0x0,0x0,0x0
590,0x0,0x0,0x0
591,0x0,0x1,0x1
592,0x0,0x1,0x4001
593,0x0,0x1,0x4001
594,0x0,0x0,0x0
595,0x0,0x0,0x4000
596,0x0,0x0,0x4000
597,0x0,0x1,0x4001
598,0x0,0x1,0x4001
599,0x0,0x1,0x4001
600,0x0,0x0,0x4000
601,0x0,0x0,0x4000
602,0x0,0x0,0x2
603,0x0,0x1,0x4001
604,0x0,0x1,0x3
605,0x0,0x1,0x1
606,0x0,0x0,0x4000
607,0x0,0x0,0x0
608,0x0,0x0,0x0
609,0x0,0x1,0x1
610,0x0,0x1,0x4001
611,0x0,0x1,0x4001
612,0x0,0x0,0x0
613,0x0,0x0,0x4000
614,0x0,0x0,0x4000
615,0x0,0x1,0x4001
616,0x0,0x1,0x4001
617,0x0,0x1,0x4001
618,0x0,0x0,0x4000
619,0x0,0x0,0x4000
620,0x0,0x0,0x2
621,0x0,0x1,0x4001
622,0x0,0x1,0x3
623,0x0,0x1,0x1
624,0x0,0x0,0x4000
625,0x0,0x0,0x0
626,0x0,0x0,0x0
627,0x0,0x1,0x1
628,0x0,0x1,0x4001
629,0x0,0x1,0x4001
630,0x0,0x0,0x0
631,0x0,0x0,0x4000
632,0x0,0x0,0x4000
633,0x0,0x1,0x4001
634,0x0,0x1,0x4001
635,0x0,0x1,0x4001
636,0x0,0x0,0x4000
637,0x0,0x0,0x4000
638,0x0,0x0,0x2
639,0x0,0x1,0x4001
640,0x0,0x1,0x3
641,0x0,0x1,0x1
642,0x0,0x0,0x4000
643,0x0,0x0,0x0
644,0x0,0x0,0x0
645,0x0,0x1,0x1
646,0x0,0x1,0x4001
647,0x0,0x1,0x4001
648,0x0,0x0,0x0
649,0x0,0x0,0x4000
650,0x0,0x0,0x4000
651,0x0,0x1,0x4001
652,0x0,0x1,0x4001
653,0x0,0x1,0x4001
654,0x0,0x0,0x4000
655,0x0,0x0,0x4000
656,0x0,0x0,0x2
657,0x0,0x1,0x4001
658,0x0,0x1,0x3
659,0x0,0x1,0x1
660,0x0,0x0,0x4000
661,0x0,0x0,0x0
662,0x0,0x0,0x0
663,0x0,0x1,0x1
664,0x0,0x1,0x4001
665,0x0,0x1,0x4001
666,0x0,0x0,0x0
667,0x0,0x0,0x4000
668,0x0,0x0,0x4000
669,0x0,0x1,0x4001
670,0x0,0x1,0x4001
671,0x0,0x1,0x4001
672,0x0,0x0,0x4000
673,0x0,0x0,0x4000
674,0x0,0x0,0x2
675,0x0,0x1,0x4001
676,0x0,0x1,0x3
677,0x0,0x1,0x1
678,0x0,0x0,0x4000
679,0x0,0x0,0x0
680,0x0,0x0,0x0
681,0x0,0x1,0x1
682,0x0,0x1,0x4001
683,0x0,0x1,0x4001
684,0x0,0x0,0x0
685,0x0,0x0,0x4000
686,0x0,0x0,0x4000
687,0x0,0x1,0x4001
688,0x0,0x1,0x4001
689,0x0,0x1,0x4001
690,0x0,0x0,0x4000
691,0x0,0x0,0x4000
692,0x0,0x0,0x2
693,0x0,0x1,0x4001
694,0x0,0x1,0x3
695,0x0,0x1,0x1
696,0x0,0x0,0x4000
697,0x0,0x0,0x0
698,0x0,0x0,0x0
699,0x0,0x1,0x1
700,0x0,0x1,0x4001
701,0x0,0x1,0x4001
702,0x0,0x0,0x0
703,0x0,0x0,0x4000
704,0x0,0x0,0x4000
705,0x0,0x1,0x4001
706,0x0,0x1,0x4001
707,0x0,0x1,0x4001
708,0x0,0x0,0x4000
709,0x0,0x0,0x4000
710,0x0,0x0,0x2
711,0x0,0x1,0x4001
712,0x0,0x1,0x3
713,0x0,0x1,0x1
714,0x0,0x0,0x4000
715,0x0,0x0,0x0
716,0x0,0x0,0x0
717,0x0,0x1,0x1
718,0x0,0x1,0x4001
719,0x0,0x1,0x4001
720,0x0,0x0,0x0
721,0x0,0x0,0x4000
722,0x0,0x0,0x4000
723,0x0,0x1,0x4001
724,0x0,0x1,0x4001
725,0x0,0x1,0x4001
726,0x0,0x0,0x4000
727,0x0,0x0,0x4000
728,0x0,0x0,0x2
729,0x0,0x1,0x4001
730,0x0,0x1,0x3
731,0x0,0x1,0x1
732,0x0,0x0,0x4000
733,0x0,0x0,0x0
734,0x0,0x0,0x0
735,0x0,0x0,0x2000
736,0x0,0x0,0x2000
737,0x0,0x0,0x2000
738,0x0,0x0,0x2000
739,0x0,0x0,0x6000
740,0x0,0x0,0x6000
741,0x0,0x0,0x6000
742,0x0,0x0,0x6000
743,0x0,0x0,0x2
744,0x0,0x0,0x0
745,0x0,0x0,0x4000
746,0x0,0x0,0x4000
747,0x0,0x1,0x1
748,0x0,0x1,0x1
749,0x0,0x1,0x4001
750,0x0,0x0,0x0
751,0x0,0x0,0x4000
752,0x0,0x0,0x2
753,0x0,0x1,0x4001
754,0x0,0x1,0x4001
755,0x0,0x1,0x4001
756,0x0,0x0,0x0
757,0x0,0x0,0x2
758,0x0,0x0,0x0
759,0x0,0x1,0x4001
760,0x0,0x1,0x4001
761,0x0,0x1,0x4001
762,0x0,0x0,0x4000
763,0x0,0x0,0x4000
764,0x0,0x0,0x4000
765,0x0,0x1,0x1
766,0x0,0x1,0x3
767,0x0,0x1,0x1
768,0x0,0x0,0x4000
769,0x0,0x0,0x4000
770,0x0,0x0,0x4000
771,0x0,0x1,0x4001
772,0x0,0x1,0x1
773,0x0,0x1,0x1
774,0x0,0x0,0x2
775,0x0,0x0,0x4000
776,0x0,0x0,0x4000
777,0x0,0x1,0x1
778,0x0,0x1,0x4001
779,0x0,0x1,0x3
780,0x0,0x0,0x4000
781,0x0,0x0,0x4000
782,0x0,0x0,0x4000
783,0x0,0x1,0x1
784,0x0,0x1,0x1
785,0x0,0x1,0x4001
786,0x0,0x0,0x0
787,0x0,0x0,0x4000
788,0x0,0x0,0x4000
789,0x0,0x1,0x4001
790,0x0,0x1,0x1
791,0x0,0x1,0x1
792,0x0,0x0,0x2
793,0x0,0x0,0x4000
794,0x0,0x0,0x4000
795,0x0,0x1,0x1
796,0x0,0x1,0x1
797,0x0,0x1,0x1
798,0x0,0x0,0x2
799,0x0,0x0,0x0
800,0x0,0x0,0x0
801,0x0,0x1,0x3
802,0x0,0x1,0x4001
803,0x0,0x1,0x3
804,0x0,0x0,0x4000
805,0x0,0x0,0x4000
806,0x0,0x0,0x4000
807,0x0,0x1,0x1
808,0x0,0x1,0x1
809,0x0,0x1,0x4001
810,0x0,0x0,0x0
811,0x0,0x0,0x4000
812,0x0,0x0,0x4000
813,0x0,0x1,0x1
814,0x0,0x1,0x4001
815,0x0,0x1,0x4001
816,0x0,0x0,0x4000
817,0x0,0x0,0x4000
818,0x0,0x0,0x4000
819,0x0,0x1,0x1
820,0x0,0x1,0x3
821,0x0,0x1,0x1
822,0x0,0x0,0x4000
823,0x0,0x0,0x4000
824,0x0,0x0,0x4000
825,0x0,0x1,0x4001
826,0x0,0x1,0x3
827,0x0,0x1,0x1
828,0x0,0x0,0x4000
829,0x0,0x0,0x2
830,0x0,0x0,0x0
831,0x0,0x1,0x4001
832,0x0,0x1,0x3
833,0x0,0x1,0x1
834,0x0,0x0,0x4000
835,0x0,0x0,0x4000
836,0x0,0x0,0x4000
837,0x0,0x1,0x1
838,0x0,0x1,0x4001
839,0x0,0x1,0x3
840,0x0,0x0,0x4000
841,0x0,0x0,0x2
842,0x0,0x0,0x0
843,0x0,0x1,0x4001
844,0x0,0x1,0x1
845,0x0,0x1,0x1
846,0x0,0x0,0x2
847,0x0,0x0,0x2
848,0x0,0x0,0x0
849,0x0,0x1,0x4001
850,0x0,0x1,0x3
851,0x0,0x1,0x1
852,0x0,0x0,0x4000
853,0x0,0x0,0x0
854,0x0,0x0,0x0
855,0x0,0x1,0x3
856,0x0,0x1,0x3
857,0x0,0x1,0x1
858,0x0,0x0,0x4000
859,0x0,0x0,0x2
860,0x0,0x0,0x0
861,0x0,0x1,0x4001
862,0x0,0x1,0x4001
863,0x0,0x1,0x4001
864,0x0,0x0,0x0
865,0x0,0x0,0x4000
866,0x0,0x0,0x4000
867,0x0,0x1,0x1
868,0x0,0x1,0x3
869,0x0,0x1,0x1
870,0x0,0x0,0x4000
871,0x0,0x0,0x4000
872,0x0,0x0,0x4000
873,0x0,0x1,0x4001
874,0x0,0x1,0x6000
875,0x0,0x0,0x2000
876,0x0,0x0,0x2000
877,0x0,0x0,0x6000
878,0x0,0x0,0x6000
879,0x0,0x0,0x6000
880,0x0,0x0,0x6000
881,0x0,0x0,0x2002
882,0x0,0x0,0x0
883,0x0,0x0,0x0
884,0x0,0x0,0x0
885,0x0,0x1,0x3
886,0x0,0x1,0x1
887,0x0,0x1,0x4001
888,0x0,0x1,0x4001
889,0x0,0x1,0x4001
890,0x0,0x1,0x4001
891,0x0,0x1,0x3
892,0x0,0x0,0x4000
893,0x0,0x0,0x0
894,0x0,0x0,0x4000
895,0x0,0x0,0x4000
896,0x0,0x0,0x4000
897,0x0,0x0,0x4000
898,0x0,0x0,0x2
899,0x0,0x0,0x0
900,0x0,0x1,0x1
901,0x0,0x1,0x4001
902,0x0,0x1,0x4001
903,0x0,0x1,0x4001
904,0x0,0x1,0x3
905,0x0,0x1,0x1
906,0x0,0x1,0x1
907,0x0,0x1,0x3
908,0x0,0x0,0x4000
909,0x0,0x0,0x0
910,0x0,0x0,0x0
911,0x0,0x0,0x4000
912,0x0,0x0,0x4000
913,0x0,0x0,0x4000
914,0x0,0x0,0x4000
915,0x0,0x1,0x4001
916,0x0,0x1,0x3
917,0x0,0x1,0x1
918,0x0,0x1,0x1
919,0x0,0x1,0x1
920,0x0,0x1,0x4001
921,0x0,0x1,0x4001
922,0x0,0x1,0x3
923,0x0,0x0,0x4000
924,0x0,0x0,0x0
925,0x0,0x0,0x4000
926,0x0,0x0,0x4000
927,0x0,0x0,0x4000
928,0x0,0x0,0x4000
929,0x0,0x0,0x2
930,0x0,0x1,0x4001
931,0x0,0x1,0x1
932,0x0,0x1,0x1
933,0x0,0x1,0x4001
934,0x0,0x1,0x4001
935,0x0,0x1,0x4001
936,0x0,0x1,0x4001
937,0x0,0x1,0x3
938,0x0,0x0,0x0
939,0x0,0x0,0x4000
940,0x0,0x0,0x4000
941,0x0,0x0,0x4000
942,0x0,0x0,0x2
943,0x0,0x0,0x0
944,0x0,0x0,0x0
945,0x0,0x0,0x4000
946,0x0,0x1,0x4001
947,0x0,0x1,0x3
948,0x0,0x1,0x1
949,0x0,0x1,0x1
950,0x0,0x1,0x1
951,0x0,0x1,0x4001
952,0x0,0x1,0x4001
953,0x0,0x0,0x4000
954,0x0,0x0,0x2
955,0x0,0x0,0x0
956,0x0,0x0,0x0
957,0x0,0x0,0x0
958,0x0,0x0,0x4000
959,0x0,0x0,0x4000
960,0x0,0x0,0x4000
961,0x0,0x1,0x1
962,0x0,0x1,0x4001
963,0x0,0x1,0x4001
964,0x0,0x1,0x3
965,0x0,0x1,0x1
966,0x0,0x1,0x1
967,0x0,0x1,0x1
968,0x0,0x1,0x4001
969,0x0,0x0,0x4000
970,0x0,0x0,0x0
971,0x0,0x0,0x0
972,0x0,0x0,0x4000
973,0x0,0x0,0x4000
974,0x0,0x0,0x4000
975,0x0,0x0,0x4000
976,0x0,0x1,0x1
977,0x0,0x1,0x4001
978,0x0,0x1,0x4001
979,0x0,0x1,0x4001
980,0x0,0x1,0x3
981,0x0,0x1,0x1
982,0x0,0x1,0x1
983,0x0,0x1,0x1
984,0x0,0x0,0x0
985,0x0,0x0,0x4000
986,0x0,0x0,0x4000
987,0x0,0x0,0x2
988,0x0,0x0,0x0
989,0x0,0x0,0x0
990,0x0,0x0,0x0
991,0x0,0x0,0x4000
992,0x0,0x1,0x1
993,0x0,0x1,0x4001
994,0x0,0x1,0x4001
995,0x0,0x1,0x4001
996,0x0,0x1,0x3
997,0x0,0x1,0x1
998,0x0,0x1,0x1
999,0x0,0x0,0x4000
1000,0x0,0x0,0x0
1001,0x0,0x0,0x0
1002,0x0,0x0,0x4000
1003,0x0,0x0,0x4000
1004,0x0,0x0,0x4000
1005,0x0,0x0,0x4000
1006,0x0,0x0,0x2
1007,0x0,0x1,0x1
1008,0x0,0x1,0x4001
1009,0x0,0x1,0x4001
1010,0x0,0x1,0x3
1011,0x0,0x1,0x1
1012,0x0,0x1,0x1
1013,0x0,0x1,0x1
1014,0x0,0x1,0x1
1015,0x0,0x0,0x2
1016,0x0,0x0,0x0
1017,0x0,0x0,0x4000
1018,0x0,0x0,0x4000
1019,0x0,0x0,0x4000
1020,0x0,0x0,0x4000
1021,0x0,0x0,0x2
1022,0x0,0x1,0x1
1023,0x0,0x1,0x4001
1024,0x0,0x1,0x4001
1025,0x0,0x1,0x4001
1026,0x0,0x1,0x3
1027,0x0,0x1,0x1
1028,0x0,0x1,0x1
1029,0x0,0x1,0x1
1030,0x0,0x0,0x0
1031,0x0,0x0,0x4000
1032,0x0,0x0,0x4000
1033,0x0,0x0,0x4000
1034,0x0,0x0,0x2
1035,0x0,0x0,0x0
1036,0x0,0x0,0x0
1037,0x0,0x0,0x4000
1038,0x0,0x1,0x1
1039,0x0,0x1,0x4001
1040,0x0,0x1,0x4001
1041,0x0,0x1,0x3
1042,0x0,0x1,0x1
1043,0x0,0x1,0x1
1044,0x0,0x1,0x1
1045,0x0,0x0,0x4000
1046,0x0,0x0,0x0
1047,0x0,0x0,0x4000
1048,0x0,0x0,0x4000
1049,0x0,0x0,0x4000
1050,0x0,0x0,0x4000
1051,0x0,0x0,0x2
1052,0x0,0x0,0x2
1053,0x0,0x1,0x1
1054,0x0,0x1,0x4001
1055,0x0,0x1,0x4001
1056,0x0,0x1,0x3
1057,0x0,0x1,0x1
1058,0x0,0x1,0x1
1059,0x0,0x1,0x1
1060,0x0,0x0,0x4000
1061,0x0,0x0,0x0
1062,0x0,0x0,0x4000
1063,0x0,0x0,0x4000
1064,0x0,0x0,0x4000
1065,0x0,0x0,0x4000
1066,0x0,0x0,0x2
1067,0x0,0x0,0x0
1068,0x0,0x1,0x1
1069,0x0,0x1,0x4001
1070,0x0,0x1,0x4001
1071,0x0,0x1,0x3
1072,0x0,0x1,0x1
1073,0x0,0x1,0x1
1074,0x0,0x1,0x1
1075,0x0,0x1,0x4001
1076,0x0,0x0,0x0
1077,0x0,0x0,0x4000
1078,0x0,0x0,0x4000
1079,0x0,0x0,0x2
1080,0x0,0x0,0x0
1081,0x0,0x0,0x0
1082,0x0,0x0,0x0
1083,0x0,0x1,0x1
1084,0x0,0x1,0x4001
1085,0x0,0x1,0x4001
1086,0x0,0x1,0x3
1087,0x0,0x1,0x1
1088,0x0,0x1,0x1
1089,0x0,0x1,0x1
1090,0x0,0x1,0x4001
1091,0x0,0x0,0x2
1092,0x0,0x0,0x0
1093,0x0,0x0,0x4000
1094,0x0,0x0,0x4000
1095,0x0,0x0,0x4000
1096,0x0,0x0,0x4000
1097,0x0,0x0,0x2
1098,0x0,0x1,0x4001
1099,0x0,0x1,0x1
1100,0x0,0x1,0x4001
1101,0x0,0x1,0x4001
1102,0x0,0x1,0x4001
1103,0x0,0x1,0x4001
1104,0x0,0x1,0x3
1105,0x0,0x1,0x1
1106,0x0,0x0,0x4000
1107,0x0,0x1,0x2000
1108,0x0,0x0,0x2000
1109,0x0,0x0,0x2000
1110,0x0,0x0,0x2000
1111,0x0,0x0,0x6000
1112,0x0,0x0,0x6000
1113,0x0,0x0,0x6000
1114,0x0,0x0,0x6000
1115,0x0,0x0,0x2
1116,0x0,0x0,0x0
1117,0x0,0x0,0x0
1118,0x0,0x0,0x4000
1119,0x0,0x1,0x1
1120,0x0,0x1,0x4001
1121,0x0,0x1,0x3
1122,0x0,0x0,0x4000
1123,0x0,0x0,0x4000
1124,0x0,0x0,0x0
1125,0x0,0x1,0x4001
1126,0x0,0x1,0x1
1127,0x0,0x1,0x4001
1128,0x0,0x0,0x0
1129,0x0,0x0,0x0
1130,0x0,0x0,0x4000
1131,0x0,0x1,0x1
1132,0x0,0x1,0x4001
1133,0x0,0x1,0x4001
1134,0x0,0x0,0x0
1135,0x0,0x0,0x0
1136,0x0,0x0,0x0
1137,0x0,0x1,0x4001
1138,0x0,0x1,0x4003
1139,0x0,0x1,0x3
1140,0x0,0x0,0x4000
1141,0x0,0x0,0x4000
1142,0x0,0x0,0x2
1143,0x0,0x1,0x4001
1144,0x0,0x1,0x4001
1145,0x0,0x1,0x4001
1146,0x0,0x0,0x0
1147,0x0,0x0,0x4002
1148,0x0,0x0,0x4000
1149,0x0,0x1,0x1
1150,0x0,0x1,0x4001
1151,0x0,0x1,0x1
1152,0x0,0x0,0x2
1153,0x0,0x0,0x4000
1154,0x0,0x0,0x0
1155,0x0,0x1,0x3
1156,0x0,0x1,0x4001
1157,0x0,0x1,0x4001
1158,0x0,0x0,0x0
1159,0x0,0x0,0x0
1160,0x0,0x0,0x0
1161,0x0,0x1,0x3
1162,0x0,0x1,0x1
1163,0x0,0x1,0x1
1164,0x0,0x0,0x4000
1165,0x0,0x0,0x2
1166,0x0,0x0,0x2
1167,0x0,0x1,0x4001
1168,0x0,0x1,0x1
1169,0x0,0x1,0x4001
1170,0x0,0x0,0x0
1171,0x0,0x0,0x0
1172,0x0,0x0,0x4000
1173,0x0,0x1,0x1
1174,0x0,0x1,0x4001
1175,0x0,0x1,0x4001
1176,0x0,0x0,0x4000
1177,0x0,0x0,0x4000
1178,0x0,0x0,0x4000
1179,0x0,0x1,0x1
1180,0x0,0x1,0x4001
1181,0x0,0x1,0x4001
1182,0x0,0x0,0x0
1183,0x0,0x0,0x0
1184,0x0,0x0,0x2
1185,0x0,0x1,0x4001
1186,0x0,0x1,0x1
1187,0x0,0x1,0x4001
1188,0x0,0x0,0x4000
1189,0x0,0x0,0x2
1190,0x0,0x0,0x4000
1191,0x0,0x1,0x1
1192,0x0,0x1,0x4001
1193,0x0,0x1,0x4001
1194,0x0,0x0,0x0
1195,0x0,0x0,0x4000
1196,0x0,0x0,0x4000
1197,0x0,0x1,0x1
1198,0x0,0x1,0x4001
1199,0x0,0x1,0x4001
1200,0x0,0x0,0x0
1201,0x0,0x0,0x0
1202,0x0,0x0,0x0
1203,0x0,0x1,0x4001
1204,0x0,0x1,0x1
1205,0x0,0x1,0x1
