frame,0xFF7B40,0xFFC80C,0x2000410A
1274,0x2,0x1,0x1
1275,0x2,0x1,0x4001
1276,0x2,0x1,0x4001
1277,0x2,0x0,0x0
1278,0x2,0x0,0x4000
1279,0x2,0x0,0x2
1280,0x2,0x1,0x1
1281,0x2,0x1,0x4001
1282,0x2,0x1,0x3
1283,0x2,0x0,0x0
1284,0x2,0x0,0x4000
1285,0x2,0x0,0x2
1286,0x2,0x1,0x1
1287,0x2,0x1,0x4001
1288,0x2,0x1,0x4003
1289,0x2,0x0,0x0
1290,0x2,0x0,0x4000
1291,0x2,0x0,0x2
1292,0x2,0x1,0x1
1293,0x2,0x1,0x4001
1294,0x2,0x1,0x1
1295,0x2,0x0,0x0
1296,0x2,0x0,0x4000
1297,0x2,0x0,0x2
1298,0x2,0x1,0x1
1299,0x2,0x1,0x4001
1300,0x2,0x1,0x1
1301,0x2,0x0,0x0
1302,0x2,0x0,0x4000
1303,0x2,0x0,0x2
1304,0x2,0x1,0x1
1305,0x2,0x1,0x4001
1306,0x2,0x1,0x1
1307,0x2,0x0,0x0
1308,0x2,0x0,0x4000
1309,0x2,0x0,0x2
1310,0x2,0x1,0x1
1311,0x2,0x1,0x4001
1312,0x2,0x1,0x1
1313,0x2,0x0,0x0
1314,0x2,0x0,0x4000
1315,0x2,0x0,0x2
1316,0x2,0x1,0x1
1317,0x2,0x1,0x4001
1318,0x2,0x1,0x4001
1319,0x2,0x0,0x0
1320,0x2,0x0,0x4000
1321,0x2,0x0,0x4000
