frame,m68k_cycles,msh2_cycles,ssh2_cycles,m68k_useful,msh2_useful,ssh2_useful,active,fb_crc,scene,state,is_32x
70,127987,306284,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
71,127987,306299,307357,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
72,127995,306314,307359,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
73,127979,306267,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
74,127987,306313,307357,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
75,127987,306334,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
76,127987,306228,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
77,127987,306312,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
78,127995,306282,307357,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
79,127979,306322,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
80,127987,306282,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
81,127987,306290,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
82,127987,306311,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
83,127987,306297,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
84,127995,306286,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
85,127979,306304,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
86,127987,306331,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
87,127987,306313,307360,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
88,127987,306280,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
89,127987,306318,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
90,127995,306282,307360,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
91,127979,306316,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
92,127987,306268,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
93,127987,306308,307357,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
94,127987,306310,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
95,127987,306295,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
96,127995,306301,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
97,127979,306346,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
98,127987,306289,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
99,127987,306318,307359,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
100,127987,306268,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
101,127987,306280,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
102,127995,306291,307357,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
103,127979,306316,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
104,127987,306294,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
105,127991,306312,307357,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
106,127983,306300,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
107,127987,306306,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
108,127989,306291,307360,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
109,127985,306231,307357,0,0,0,1,0x30E2B768,0x43C6,0x0008,1
110,127987,306289,307356,0,0,0,1,0x30E2B768,0x43C6,0x0008,1
111,127991,306361,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
112,127983,306301,307356,0,0,0,1,0xBCD0CFE2,0x43C6,0x0008,1
113,127987,306309,307356,0,0,0,1,0xBCD0CFE2,0x43C6,0x0008,1
114,127989,306343,307356,0,0,0,1,0x30E2B768,0x43C6,0x0000,1
115,127985,306301,307359,0,0,0,1,0xA1133F26,0x43C6,0x0008,1
116,127987,306298,307360,0,0,0,1,0xA1133F26,0x43C6,0x0008,1
117,127991,306298,307360,0,0,0,1,0xBCD0CFE2,0x43C6,0x0000,1
118,127983,306284,307360,0,0,0,1,0x68217D0D,0x43C6,0x0008,1
119,127987,306309,307357,0,0,0,1,0x68217D0D,0x43C6,0x0008,1
120,127991,306293,307359,0,0,0,1,0x4945E6A2,0x43C6,0x0000,1
121,127983,306299,307357,0,0,0,1,0x932917E7,0x43C6,0x0008,1
122,127987,306309,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
123,127987,306316,307356,0,0,0,1,0x83076D5C,0x43C6,0x0000,1
124,127987,306302,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
125,127987,306310,307359,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
126,127995,306270,307360,0,0,0,1,0x932917E7,0x43C6,0x0000,1
127,127979,306305,307357,0,0,0,1,0x932917E7,0x43C6,0x0008,1
128,127987,306329,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
129,127987,306228,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
130,127987,306312,307359,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
131,127987,306282,307357,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
132,127995,306320,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
133,127979,306282,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
134,127987,306294,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
135,127987,306310,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
136,127987,306288,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
137,127987,306286,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
138,127995,306308,307359,0,0,0,1,0x932917E7,0x43C6,0x0000,1
139,127979,306339,307360,0,0,0,1,0x932917E7,0x43C6,0x0008,1
140,127987,306334,307357,0,0,0,1,0x932917E7,0x43C6,0x0008,1
141,127987,306301,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
142,127987,306292,307359,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
143,127987,306282,307357,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
144,127995,306340,307359,0,0,0,1,0x932917E7,0x43C6,0x0000,1
145,127979,306324,307357,0,0,0,1,0x932917E7,0x43C6,0x0008,1
146,127987,306288,307359,0,0,0,1,0x932917E7,0x43C6,0x0008,1
147,127987,306303,307360,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
148,127987,306332,307360,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
149,127987,306300,307360,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
150,127995,306303,307360,0,0,0,1,0x932917E7,0x43C6,0x0000,1
151,127979,306326,307357,0,0,0,1,0x932917E7,0x43C6,0x0008,1
152,127987,306273,307359,0,0,0,1,0x932917E7,0x43C6,0x0008,1
153,127987,306293,307360,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
154,127987,306324,307357,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
155,127987,306302,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
156,127995,306316,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
157,127979,306302,307359,0,0,0,1,0x932917E7,0x43C6,0x0008,1
158,127987,306320,307357,0,0,0,1,0x932917E7,0x43C6,0x0008,1
159,127987,306300,307359,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
160,127987,306306,307360,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
161,127987,306291,307357,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
162,127995,306278,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
163,127979,306333,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
164,127987,306293,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
165,127987,306269,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
166,127987,306319,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
167,127987,46350,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
168,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
169,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
170,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
171,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
172,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
173,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
174,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
175,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
176,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
177,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
178,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
179,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
180,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
181,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
182,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
