frame,0xFF7B40,0x2600BC64,0x2600BC68,0x2600BC6C,0x2600BC8C,0x2600BC90,0x2600BC00,0x2600BC0C,0x2600FB64,0x20004020
75,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
76,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
77,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
78,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
79,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
81,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
82,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
83,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
84,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
85,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
86,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
87,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
88,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
89,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
90,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
91,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
92,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
93,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
94,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
95,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
96,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
97,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
98,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
99,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
100,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
101,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
102,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
103,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
104,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
105,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
106,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
107,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
108,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
109,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
110,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
111,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
112,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
113,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
114,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
115,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
116,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
117,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
118,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
119,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
120,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
